Date_parsed,State,Year,Month,Data Value,State Name
2015-04-01,AK,2015,April,126.0,Alaska
2015-08-01,AK,2015,August,124.0,Alaska
2015-12-01,AK,2015,December,121.0,Alaska
2015-02-01,AK,2015,February,127.0,Alaska
2015-01-01,AK,2015,January,126.0,Alaska
2015-07-01,AK,2015,July,117.0,Alaska
2015-06-01,AK,2015,June,121.0,Alaska
2015-03-01,AK,2015,March,125.0,Alaska
2015-05-01,AK,2015,May,125.0,Alaska
2015-11-01,AK,2015,November,115.0,Alaska
2015-10-01,AK,2015,October,120.0,Alaska
2015-09-01,AK,2015,September,125.0,Alaska
2016-04-01,AK,2016,April,132.0,Alaska
2016-08-01,AK,2016,August,138.0,Alaska
2016-12-01,AK,2016,December,129.0,Alaska
2016-02-01,AK,2016,February,128.0,Alaska
2016-01-01,AK,2016,January,126.0,Alaska
2016-07-01,AK,2016,July,143.0,Alaska
2016-06-01,AK,2016,June,138.0,Alaska
2016-03-01,AK,2016,March,125.0,Alaska
2016-05-01,AK,2016,May,140.0,Alaska
2016-11-01,AK,2016,November,133.0,Alaska
2016-10-01,AK,2016,October,131.0,Alaska
2016-09-01,AK,2016,September,131.0,Alaska
2017-04-01,AK,2017,April,117.0,Alaska
2017-08-01,AK,2017,August,137.0,Alaska
2017-12-01,AK,2017,December,141.0,Alaska
2017-02-01,AK,2017,February,124.0,Alaska
2017-01-01,AK,2017,January,126.0,Alaska
2017-07-01,AK,2017,July,128.0,Alaska
2017-06-01,AK,2017,June,122.0,Alaska
2017-03-01,AK,2017,March,126.0,Alaska
2017-05-01,AK,2017,May,120.0,Alaska
2017-11-01,AK,2017,November,138.0,Alaska
2017-10-01,AK,2017,October,144.0,Alaska
2017-09-01,AK,2017,September,148.0,Alaska
2018-04-01,AK,2018,April,142.0,Alaska
2018-08-01,AK,2018,August,110.0,Alaska
2018-12-01,AK,2018,December,105.0,Alaska
2018-02-01,AK,2018,February,139.0,Alaska
2018-01-01,AK,2018,January,138.0,Alaska
2018-07-01,AK,2018,July,116.0,Alaska
2018-06-01,AK,2018,June,125.0,Alaska
2018-03-01,AK,2018,March,136.0,Alaska
