Description,Year,Population,Count or Estimate,State or County Release
U.S.,2015,320738994,Estimate,State
U.S.,2016,323071755,Estimate,State
U.S.,2017,325122128,Estimate,State
U.S.,2018,326838199,Estimate,State
U.S.,2019,328329953,Estimate,State
U.S.,2020,329484123,Estimate,State
Alabama,2015,4854803,Estimate,County
Alabama,2016,4866824,Estimate,County
Alabama,2017,4877989,Estimate,County
Alabama,2018,4891628,Estimate,County
Alabama,2019,4907965,Estimate,County
Alabama,2020,4921532,Estimate,County
"Autauga County, AL",2015,54903,Estimate,County
"Autauga County, AL",2016,55302,Estimate,County
"Autauga County, AL",2017,55448,Estimate,County
"Autauga County, AL",2018,55533,Estimate,County
"Autauga County, AL",2019,55769,Estimate,County
"Autauga County, AL",2020,56145,Estimate,County
"Baldwin County, AL",2015,203101,Estimate,County
"Baldwin County, AL",2016,207787,Estimate,County
"Baldwin County, AL",2017,212737,Estimate,County
"Baldwin County, AL",2018,218071,Estimate,County
"Baldwin County, AL",2019,223565,Estimate,County
"Baldwin County, AL",2020,229287,Estimate,County
"Barbour County, AL",2015,26300,Estimate,County
"Barbour County, AL",2016,25828,Estimate,County
"Barbour County, AL",2017,25169,Estimate,County
"Barbour County, AL",2018,24887,Estimate,County
"Barbour County, AL",2019,24657,Estimate,County
"Barbour County, AL",2020,24589,Estimate,County
"Bibb County, AL",2015,22553,Estimate,County
"Bibb County, AL",2016,22590,Estimate,County
"Bibb County, AL",2017,22532,Estimate,County
"Bibb County, AL",2018,22300,Estimate,County
"Bibb County, AL",2019,22313,Estimate,County
"Bibb County, AL",2020,22136,Estimate,County
"Blount County, AL",2015,57535,Estimate,County
"Blount County, AL",2016,57487,Estimate,County
"Blount County, AL",2017,57801,Estimate,County
"Blount County, AL",2018,57770,Estimate,County
"Blount County, AL",2019,57840,Estimate,County
"Blount County, AL",2020,57879,Estimate,County
"Bullock County, AL",2015,10404,Estimate,County
"Bullock County, AL",2016,10397,Estimate,County
"Bullock County, AL",2017,10181,Estimate,County
"Bullock County, AL",2018,10165,Estimate,County
"Bullock County, AL",2019,10144,Estimate,County
"Bullock County, AL",2020,9976,Estimate,County
"Butler County, AL",2015,20168,Estimate,County
"Butler County, AL",2016,20040,Estimate,County
"Butler County, AL",2017,19911,Estimate,County
"Butler County, AL",2018,19675,Estimate,County
"Butler County, AL",2019,19501,Estimate,County
"Butler County, AL",2020,19504,Estimate,County
"Calhoun County, AL",2015,115550,Estimate,County
"Calhoun County, AL",2016,115036,Estimate,County
"Calhoun County, AL",2017,114746,Estimate,County
"Calhoun County, AL",2018,114298,Estimate,County
"Calhoun County, AL",2019,114070,Estimate,County
"Calhoun County, AL",2020,113469,Estimate,County
"Chambers County, AL",2015,33991,Estimate,County
"Chambers County, AL",2016,33742,Estimate,County
"Chambers County, AL",2017,33716,Estimate,County
"Chambers County, AL",2018,33570,Estimate,County
"Chambers County, AL",2019,33244,Estimate,County
"Chambers County, AL",2020,32865,Estimate,County
"Cherokee County, AL",2015,25739,Estimate,County
"Cherokee County, AL",2016,25769,Estimate,County
"Cherokee County, AL",2017,25822,Estimate,County
"Cherokee County, AL",2018,26035,Estimate,County
"Cherokee County, AL",2019,26254,Estimate,County
"Cherokee County, AL",2020,26294,Estimate,County
"Chilton County, AL",2015,43693,Estimate,County
"Chilton County, AL",2016,43854,Estimate,County
"Chilton County, AL",2017,44085,Estimate,County
